Position Date;Issue Date;Interest Date;Maturity Date;Rate;Counterparty;Principal Amount_position;No.;TYPE;Principal Amount_activity;Term Type Days;Investment Tenure Days;Term Type Year;Term Type Month;Investment Tenure Year;Investment Tenure Month;Principal Amount_position_modified;Market Rate
2020-01-31;2019-04-17;2019-04-17;2020-02-03;2.35;D;9942675.0;707288;TERM;7500000.0;292 days;289 days;0;9;0;9;20718750.0;1.483125
2020-01-31;2019-05-13;2019-05-13;2020-05-11;2.35;E;9942675.0;502710;TERM;7500000.0;364 days;263 days;0;11;0;8;19250000.0;1.8172916666666665
2020-01-31;2019-05-15;2019-05-15;2020-04-01;2.55;D;5965605.0;707512;TERM;4500000.0;322 days;261 days;0;10;0;8;12150000.0;1.6520833333333333
2020-01-31;2019-05-15;2019-05-15;2020-05-14;2.59;E;9942675.0;502722;TERM;7500000.0;365 days;261 days;0;11;0;8;20450000.0;1.8172916666666665
2020-01-31;2019-05-23;2019-05-23;2020-04-14;2.45;D;1988535.0;707643;TERM;1500000.0;327 days;253 days;0;10;0;8;3950000.0000000005;1.6500000000000001
2020-01-31;2019-05-24;2019-05-24;2020-02-10;2.15;M;145163.055;707681;TERM;109500.0;262 days;252 days;0;8;0;8;266450.0;1.3183333333333334
2020-01-31;2019-06-17;2019-06-17;2020-03-13;1.8;G;195290.04528;708041;TERM;147312.0;270 days;228 days;0;8;0;7;301989.6;1.3058333333333334
2020-01-31;2019-06-17;2019-06-17;2020-03-13;1.8;G;99426.75;708042;TERM;75000.0;270 days;228 days;0;8;0;7;153750.0;1.3058333333333334
2020-01-31;2019-06-17;2019-06-17;2020-03-13;1.8;G;99426.75;708043;TERM;75000.0;270 days;228 days;0;8;0;7;153750.0;1.3058333333333334
2020-01-31;2019-06-17;2019-06-17;2020-03-13;1.8;G;99426.75;708044;TERM;75000.0;270 days;228 days;0;8;0;7;153750.0;1.3058333333333334
2020-01-31;2019-06-17;2019-06-17;2020-03-13;1.8;G;99426.75;708045;TERM;75000.0;270 days;228 days;0;8;0;7;153750.0;1.3058333333333334
2020-01-31;2019-06-25;2019-06-25;2020-03-23;2.17;T;58860.636;708080;TERM;44400.0;272 days;220 days;0;8;0;7;100603.0;1.3041666666666667
2020-01-31;2019-06-26;2019-06-26;2020-03-22;2.17;G;15908.28;708097;TERM;12000.0;270 days;219 days;0;8;0;7;27190.0;1.3041666666666667
2020-01-31;2019-06-26;2019-06-26;2020-03-22;2.17;G;27839.489999999998;708098;TERM;21000.0;270 days;219 days;0;8;0;7;47582.5;1.3041666666666667
2020-01-31;2019-06-26;2019-06-26;2020-03-22;2.17;G;22613.620020000002;708099;TERM;17058.0;270 days;219 days;0;8;0;7;38650.58500000001;1.3041666666666667
2020-01-31;2019-06-26;2019-06-26;2020-03-22;2.17;G;139197.45;708100;TERM;105000.0;270 days;219 days;0;8;0;7;237912.5;1.3041666666666667
2020-01-31;2019-06-26;2019-06-26;2020-03-22;2.17;G;318165.6;708101;TERM;240000.0;270 days;219 days;0;8;0;7;543800.0;1.3041666666666667
